ALDER;KØN;TID;INDHOLD
33;K;2022;36023
34;M;2022;36152
34;K;2022;34492
35;M;2022;35535
35;K;2022;34028
36;M;2022;34399
36;K;2022;33588
37;M;2022;33238
37;K;2022;32202
38;M;2022;32285
38;K;2022;31736
39;M;2022;33142
39;K;2022;32225
40;M;2022;32577
40;K;2022;32302
41;M;2022;34243
41;K;2022;34180
42;M;2022;34895
42;K;2022;34672
43;M;2022;35712
43;K;2022;35611
44;M;2022;35358
44;K;2022;35378
45;M;2022;36838
45;K;2022;36528
46;M;2022;39315
46;K;2022;39773
47;M;2022;38803
47;K;2022;39020
48;M;2022;38558
48;K;2022;38760
49;M;2022;40134
49;K;2022;40467
50;M;2022;39964
50;K;2022;39485
51;M;2022;37968
51;K;2022;38015
52;M;2022;37941
52;K;2022;37464
53;M;2022;39326
53;K;2022;38610
54;M;2022;41648
54;K;2022;41231
55;M;2022;44534
55;K;2022;43908
56;M;2022;42828
56;K;2022;42520
57;M;2022;41746
57;K;2022;41099
58;M;2022;40390
58;K;2022;40269
59;M;2022;37817
59;K;2022;37924
60;M;2022;36404
60;K;2022;36767
61;M;2022;36162
61;K;2022;36407
62;M;2022;34172
62;K;2022;34866
63;M;2022;34050
63;K;2022;34791
64;M;2022;33420
64;K;2022;34225
65;M;2022;33121
65;K;2022;34275
66;M;2022;32316
66;K;2022;33377
67;M;2022;30926
67;K;2022;32817
68;M;2022;31176
68;K;2022;32802
69;M;2022;30013
69;K;2022;31871
70;M;2022;29241
70;K;2022;30890
71;M;2022;29234
71;K;2022;31891
72;M;2022;28495
72;K;2022;31309
73;M;2022;29629
73;K;2022;32235
74;M;2022;30725
74;K;2022;33592
75;M;2022;31021
75;K;2022;33630
76;M;2022;28805
76;K;2022;31731
77;M;2022;26007
77;K;2022;29589
78;M;2022;22850
78;K;2022;26744
79;M;2022;20683
79;K;2022;24240
80;M;2022;17316
80;K;2022;20865
81;M;2022;15798
81;K;2022;19561
82;M;2022;14078
82;K;2022;17754
83;M;2022;12819
83;K;2022;16547
84;M;2022;11051
84;K;2022;15149
85;M;2022;9529
85;K;2022;13275
86;M;2022;7981
86;K;2022;11556
87;M;2022;6718
87;K;2022;10307
88;M;2022;5515
88;K;2022;8830
89;M;2022;4467
89;K;2022;7704
90;M;2022;3545
90;K;2022;6533
91;M;2022;2767
91;K;2022;5608
92;M;2022;2159
92;K;2022;4628
93;M;2022;1680
93;K;2022;3967
94;M;2022;1204
94;K;2022;3137
95;M;2022;890
95;K;2022;2544
96;M;2022;586
96;K;2022;1909
97;M;2022;372
97;K;2022;1403
98;M;2022;224
98;K;2022;954
99;M;2022;131
99;K;2022;609
100;M;2022;84
100;K;2022;432
101;M;2022;47
101;K;2022;279
102;M;2022;25
102;K;2022;149
103;M;2022;13
103;K;2022;80
104;M;2022;3
104;K;2022;36
105-;M;2022;5
105-;K;2022;45
0;M;2023;32502
0;K;2023;30859
1;M;2023;32150
1;K;2023;30502
2;M;2023;31802
2;K;2023;30156
3;M;2023;31927
3;K;2023;30011
4;M;2023;31992
4;K;2023;30157
5;M;2023;31889
5;K;2023;30393
6;M;2023;32387
6;K;2023;30471
7;M;2023;30663
7;K;2023;29197
8;M;2023;30400
8;K;2023;28776
9;M;2023;30004
9;K;2023;28653
10;M;2023;31453
10;K;2023;29560
11;M;2023;31661
11;K;2023;30562
12;M;2023;34270
12;K;2023;32546
13;M;2023;34209
13;K;2023;32357
14;M;2023;35555
14;K;2023;33442
15;M;2023;34934
15;K;2023;33270
16;M;2023;35634
16;K;2023;33766
17;M;2023;34816
17;K;2023;33581
18;M;2023;35075
18;K;2023;33614
19;M;2023;35629
19;K;2023;33976
20;M;2023;35992
20;K;2023;34378
21;M;2023;36904
21;K;2023;35888
22;M;2023;38425
22;K;2023;37334
23;M;2023;38582
23;K;2023;37460
24;M;2023;39318
24;K;2023;37829
25;M;2023;40340
25;K;2023;38800
26;M;2023;40675
26;K;2023;39111
27;M;2023;42204
27;K;2023;40345
28;M;2023;42374
28;K;2023;40825
29;M;2023;41321
29;K;2023;39548
30;M;2023;41775
30;K;2023;39746
31;M;2023;39990
31;K;2023;38588
32;M;2023;40030
32;K;2023;38304
33;M;2023;38721
33;K;2023;37309
34;M;2023;37618
34;K;2023;36023
35;M;2023;36113
35;K;2023;34470
36;M;2023;35493
36;K;2023;34016
37;M;2023;34327
37;K;2023;33584
38;M;2023;33169
38;K;2023;32193
39;M;2023;32223
39;K;2023;31727
40;M;2023;33044
40;K;2023;32212
41;M;2023;32490
41;K;2023;32320
42;M;2023;34188
42;K;2023;34183
43;M;2023;34810
43;K;2023;34689
44;M;2023;35656
44;K;2023;35623
45;M;2023;35291
45;K;2023;35394
46;M;2023;36776
46;K;2023;36530
47;M;2023;39218
47;K;2023;39787
48;M;2023;38696
48;K;2023;39004
49;M;2023;38468
49;K;2023;38748
50;M;2023;40065
50;K;2023;40450
51;M;2023;39877
51;K;2023;39458
52;M;2023;37859
52;K;2023;37975
53;M;2023;37832
53;K;2023;37390
54;M;2023;39197
54;K;2023;38540
55;M;2023;41480
55;K;2023;41146
56;M;2023;44360
56;K;2023;43830
57;M;2023;42604
57;K;2023;42397
58;M;2023;41515
58;K;2023;40986
59;M;2023;40127
59;K;2023;40122
60;M;2023;37545
60;K;2023;37775
61;M;2023;36137
61;K;2023;36606
62;M;2023;35852
62;K;2023;36222
63;M;2023;33842
63;K;2023;34670
64;M;2023;33670
64;K;2023;34557
65;M;2023;33023
65;K;2023;33992
66;M;2023;32698
66;K;2023;34001
67;M;2023;31844
67;K;2023;33098
68;M;2023;30457
68;K;2023;32485
69;M;2023;30646
69;K;2023;32488
70;M;2023;29497
70;K;2023;31533
71;M;2023;28679
71;K;2023;30536
72;M;2023;28650
72;K;2023;31483
73;M;2023;27846
73;K;2023;30824
74;M;2023;28912
74;K;2023;31683
75;M;2023;29834
75;K;2023;32941
76;M;2023;30074
76;K;2023;32912
77;M;2023;27856
77;K;2023;31009
78;M;2023;25016
78;K;2023;28791
79;M;2023;21868
79;K;2023;25929
80;M;2023;19679
80;K;2023;23426
81;M;2023;16399
81;K;2023;20060
82;M;2023;14810
82;K;2023;18709
83;M;2023;13126
83;K;2023;16826
84;M;2023;11766
84;K;2023;15562
85;M;2023;10074
85;K;2023;14150
86;M;2023;8584
86;K;2023;12275
87;M;2023;7087
87;K;2023;10529
88;M;2023;5835
88;K;2023;9302
89;M;2023;4727
89;K;2023;7868
90;M;2023;3712
90;K;2023;6733
91;M;2023;2876
91;K;2023;5644
92;M;2023;2208
92;K;2023;4741
93;M;2023;1691
93;K;2023;3848
94;M;2023;1273
94;K;2023;3220
95;M;2023;885
95;K;2023;2471
96;M;2023;629
96;K;2023;1948
97;M;2023;400
97;K;2023;1415
98;M;2023;243
98;K;2023;1002
99;M;2023;139
99;K;2023;656
100;M;2023;78
100;K;2023;401
101;M;2023;46
101;K;2023;272
102;M;2023;24
102;K;2023;165
103;M;2023;12
103;K;2023;84
104;M;2023;6
104;K;2023;42
105-;M;2023;3
105-;K;2023;37
