ALDER;KØN;TID;INDHOLD
16;M;2019;34497
16;K;2019;32645
17;M;2019;34823
17;K;2019;33437
18;M;2019;36072
18;K;2019;34494
19;M;2019;36320
19;K;2019;34615
20;M;2019;37348
20;K;2019;35472
21;M;2019;38759
21;K;2019;37047
22;M;2019;39456
22;K;2019;37850
23;M;2019;41330
23;K;2019;39511
24;M;2019;41754
24;K;2019;40463
25;M;2019;40863
25;K;2019;39340
26;M;2019;41542
26;K;2019;39656
27;M;2019;39898
27;K;2019;38599
28;M;2019;40156
28;K;2019;38469
29;M;2019;38972
29;K;2019;37394
30;M;2019;37768
30;K;2019;36170
31;M;2019;36357
31;K;2019;34504
32;M;2019;35744
32;K;2019;34043
33;M;2019;34553
33;K;2019;33575
34;M;2019;33424
34;K;2019;32136
35;M;2019;32535
35;K;2019;31713
36;M;2019;33355
36;K;2019;32171
37;M;2019;32680
37;K;2019;32245
38;M;2019;34418
38;K;2019;34102
39;M;2019;35070
39;K;2019;34598
40;M;2019;35825
40;K;2019;35476
41;M;2019;35467
41;K;2019;35285
42;M;2019;36995
42;K;2019;36425
43;M;2019;39463
43;K;2019;39720
44;M;2019;38963
44;K;2019;38946
45;M;2019;38790
45;K;2019;38711
46;M;2019;40416
46;K;2019;40455
47;M;2019;40196
47;K;2019;39491
48;M;2019;38211
48;K;2019;38048
49;M;2019;38225
49;K;2019;37540
50;M;2019;39650
50;K;2019;38755
51;M;2019;42011
51;K;2019;41424
52;M;2019;45003
52;K;2019;44139
53;M;2019;43327
53;K;2019;42760
54;M;2019;42302
54;K;2019;41410
55;M;2019;41012
55;K;2019;40618
56;M;2019;38510
56;K;2019;38305
57;M;2019;37135
57;K;2019;37142
58;M;2019;36986
58;K;2019;36882
59;M;2019;35028
59;K;2019;35376
60;M;2019;35017
60;K;2019;35358
61;M;2019;34499
61;K;2019;34864
62;M;2019;34320
62;K;2019;34995
63;M;2019;33589
63;K;2019;34148
64;M;2019;32247
64;K;2019;33633
65;M;2019;32642
65;K;2019;33762
66;M;2019;31561
66;K;2019;32844
67;M;2019;30842
67;K;2019;31924
68;M;2019;30960
68;K;2019;32980
69;M;2019;30266
69;K;2019;32478
70;M;2019;31655
70;K;2019;33618
71;M;2019;33006
71;K;2019;35238
72;M;2019;33641
72;K;2019;35526
73;M;2019;31494
73;K;2019;33727
74;M;2019;28731
74;K;2019;31629
75;M;2019;25475
75;K;2019;28803
76;M;2019;23351
76;K;2019;26347
77;M;2019;19879
77;K;2019;22940
78;M;2019;18425
78;K;2019;21772
79;M;2019;16772
79;K;2019;20029
80;M;2019;15577
80;K;2019;19044
81;M;2019;13875
81;K;2019;17827
82;M;2019;12302
82;K;2019;16019
83;M;2019;10671
83;K;2019;14309
84;M;2019;9281
84;K;2019;13183
85;M;2019;7994
85;K;2019;11702
86;M;2019;6811
86;K;2019;10604
87;M;2019;5782
87;K;2019;9384
88;M;2019;4837
88;K;2019;8422
89;M;2019;4058
89;K;2019;7321
90;M;2019;3348
90;K;2019;6591
91;M;2019;2562
91;K;2019;5555
92;M;2019;2053
92;K;2019;4829
93;M;2019;1502
93;K;2019;3944
94;M;2019;1093
94;K;2019;3184
95;M;2019;724
95;K;2019;2435
96;M;2019;487
96;K;2019;1678
97;M;2019;351
97;K;2019;1357
98;M;2019;211
98;K;2019;984
99;M;2019;138
99;K;2019;614
100;M;2019;77
100;K;2019;381
101;M;2019;34
101;K;2019;223
102;M;2019;33
102;K;2019;151
103;M;2019;6
103;K;2019;85
104;M;2019;6
104;K;2019;45
105;M;2019;4
105;K;2019;26
106;M;2019;3
106;K;2019;18
107;M;2019;0
107;K;2019;2
108;M;2019;0
108;K;2019;5
109;M;2019;0
109;K;2019;2
110;M;2019;0
110;K;2019;2
111;M;2019;0
111;K;2019;0
112;M;2019;0
112;K;2019;0
113;M;2019;0
113;K;2019;0
114;M;2019;0
114;K;2019;0
115;M;2019;0
115;K;2019;0
116;M;2019;0
116;K;2019;0
117;M;2019;0
117;K;2019;0
118;M;2019;0
118;K;2019;0
119;M;2019;0
119;K;2019;0
120;M;2019;0
120;K;2019;0
121;M;2019;0
121;K;2019;0
122;M;2019;0
122;K;2019;0
123;M;2019;0
123;K;2019;0
124;M;2019;0
124;K;2019;0
125;M;2019;0
125;K;2019;0
0;M;2020;31649
0;K;2020;29817
1;M;2020;31880
1;K;2020;30036
2;M;2020;31833
2;K;2020;30315
3;M;2020;32347
3;K;2020;30350
4;M;2020;30577
4;K;2020;29084
5;M;2020;30308
5;K;2020;28685
6;M;2020;29872
6;K;2020;28543
7;M;2020;31307
7;K;2020;29438
8;M;2020;31510
8;K;2020;30416
9;M;2020;34130
9;K;2020;32392
10;M;2020;34062
10;K;2020;32192
11;M;2020;35382
11;K;2020;33267
12;M;2020;34682
12;K;2020;32991
13;M;2020;35201
13;K;2020;33322
14;M;2020;34417
14;K;2020;33113
15;M;2020;34643
15;K;2020;33125
16;M;2020;34775
16;K;2020;33173
17;M;2020;34560
17;K;2020;32744
18;M;2020;35025
18;K;2020;33614
19;M;2020;36640
19;K;2020;34983
20;M;2020;36827
20;K;2020;35304
21;M;2020;37812
21;K;2020;36089
22;M;2020;39044
22;K;2020;37418
23;M;2020;39767
23;K;2020;38262
24;M;2020;41504
24;K;2020;39864
25;M;2020;41928
25;K;2020;40510
26;M;2020;40937
26;K;2020;39252
27;M;2020;41554
27;K;2020;39611
28;M;2020;39904
28;K;2020;38593
29;M;2020;40085
29;K;2020;38436
30;M;2020;38816
30;K;2020;37393
31;M;2020;37747
31;K;2020;36056
32;M;2020;36217
32;K;2020;34463
33;M;2020;35612
33;K;2020;34014
34;M;2020;34443
34;K;2020;33585
35;M;2020;33311
35;K;2020;32167
36;M;2020;32379
36;K;2020;31710
37;M;2020;33255
37;K;2020;32197
38;M;2020;32673
38;K;2020;32275
39;M;2020;34359
39;K;2020;34136
40;M;2020;34974
40;K;2020;34606
41;M;2020;35753
