SEXE;AGE;POP;ANNEE
M;75;84956;2020
M;76;100095;2020
M;77;138663;2020
M;78;132208;2020
M;79;123174;2020
M;80;105097;2020
M;81;99089;2020
M;82;86734;2020
M;83;77052;2020
M;84;64313;2020
M;85;55516;2020
M;86;46570;2020
M;87;37659;2020
M;88;30466;2020
M;89;24761;2020
M;90;18896;2020
M;91;13331;2020
M;92;9527;2020
M;93;6488;2020
M;94;4525;2020
M;95;2955;2020
M;96;1613;2020
M;97;1148;2020
M;98;742;2020
M;99;410;2020
M;100 ou +;591;2020
F;0;378518;2020
F;1;376728;2020
F;2;381258;2020
F;3;383240;2020
F;4;384335;2020
F;5;389918;2020
F;6;385574;2020
F;7;381626;2020
F;8;375709;2020
F;9;400328;2020
F;10;403687;2020
F;11;405284;2020
F;12;384278;2020
F;13;375730;2020
F;14;379019;2020
F;15;369917;2020
F;16;383075;2020
F;17;408970;2020
F;18;438331;2020
F;19;448771;2020
F;20;450949;2020
F;21;439929;2020
F;22;436105;2020
F;23;430295;2020
F;24;428807;2020
F;25;441229;2020
F;26;444033;2020
F;27;453294;2020
F;28;450458;2020
F;29;439499;2020
F;30;445454;2020
F;31;444756;2020
F;32;446884;2020
F;33;438836;2020
F;34;441491;2020
F;35;439851;2020
F;36;439736;2020
F;37;439613;2020
F;38;432544;2020
F;39;440641;2020
F;40;433071;2020
F;41;449385;2020
F;42;444390;2020
F;43;442465;2020
F;44;436269;2020
F;45;416108;2020
F;46;317731;2020
F;47;314855;2020
F;48;307261;2020
F;49;287561;2020
F;50;259984;2020
F;51;275040;2020
F;52;295579;2020
F;53;293903;2020
F;54;295153;2020
F;55;300261;2020
F;56;300438;2020
F;57;310895;2020
F;58;306480;2020
F;59;320193;2020
F;60;318801;2020
F;61;324960;2020
F;62;309816;2020
F;63;310665;2020
F;64;304571;2020
F;65;306084;2020
F;66;304731;2020
F;67;297086;2020
F;68;295135;2020
F;69;293635;2020
F;70;299217;2020
F;71;299139;2020
F;72;180113;2020
F;73;155684;2020
F;74;136089;2020
F;75;125345;2020
F;76;151927;2020
F;77;221014;2020
F;78;214042;2020
F;79;207900;2020
F;80;185438;2020
F;81;182918;2020
F;82;168705;2020
F;83;156837;2020
F;84;138547;2020
F;85;125728;2020
F;86;110254;2020
F;87;96337;2020
F;88;82460;2020
F;89;70789;2020
F;90;58499;2020
F;91;44080;2020
F;92;33545;2020
F;93;25000;2020
F;94;18803;2020
F;95;13883;2020
F;96;9461;2020
F;97;6468;2020
F;98;4470;2020
F;99;2488;2020
F;100 ou +;3788;2020
M;0;389567;2021
M;1;393218;2021
M;2;397730;2021
M;3;397587;2021
M;4;402614;2021
M;5;402608;2021
M;6;409052;2021
M;7;404022;2021
M;8;399577;2021
M;9;394100;2021
M;10;419554;2021
M;11;424105;2021
M;12;425698;2021
M;13;404266;2021
M;14;394625;2021
M;15;399468;2021
M;16;389228;2021
M;17;401338;2021
M;18;427402;2021
M;19;451321;2021
M;20;458964;2021
M;21;456925;2021
M;22;443562;2021
M;23;437087;2021
M;24;430037;2021
M;25;430053;2021
M;26;442373;2021
M;27;446913;2021
M;28;453629;2021
M;29;451217;2021
M;30;439364;2021
M;31;444444;2021
M;32;444332;2021
M;33;445140;2021
M;34;435357;2021
M;35;437716;2021
M;36;435847;2021
M;37;434402;2021
M;38;436374;2021
M;39;431520;2021
M;40;440952;2021
M;41;434172;2021
M;42;454397;2021
M;43;449871;2021
M;44;452330;2021
M;45;445422;2021
M;46;423473;2021
M;47;324028;2021
M;48;318784;2021
M;49;312664;2021
M;50;292824;2021
M;51;263210;2021
M;52;276560;2021
M;53;291045;2021
M;54;288177;2021
M;55;286237;2021
M;56;289618;2021
M;57;285165;2021
M;58;292292;2021
M;59;284924;2021
M;60;293469;2021
M;61;287913;2021
M;62;289607;2021
M;63;272331;2021
M;64;268570;2021
M;65;258227;2021
M;66;253822;2021
M;67;247026;2021
M;68;234293;2021
M;69;229456;2021
M;70;223037;2021
M;71;223347;2021
M;72;220822;2021
M;73;128956;2021
M;74;107570;2021
M;75;90602;2021
M;76;80637;2021
M;77;94580;2021
M;78;130488;2021
M;79;123470;2021
M;80;114156;2021
M;81;96627;2021
M;82;90161;2021
M;83;78099;2021
M;84;68573;2021
M;85;56443;2021
M;86;48126;2021
M;87;39895;2021
M;88;31713;2021
M;89;25080;2021
M;90;20110;2021
M;91;15082;2021
M;92;10375;2021
M;93;7135;2021
M;94;4731;2021
M;95;3276;2021
M;96;2084;2021
M;97;1100;2021
M;98;785;2021
M;99;504;2021
M;100 ou +;584;2021
F;0;370754;2021
F;1;375572;2021
F;2;378271;2021
F;3;381473;2021
F;4;384273;2021
F;5;385281;2021
F;6;390606;2021
F;7;385807;2021
F;8;382681;2021
F;9;376716;2021
F;10;399840;2021
F;11;403777;2021
F;12;406282;2021
F;13;385148;2021
F;14;376833;2021
F;15;380131;2021
F;16;371187;2021
F;17;384038;2021
F;18;409096;2021
F;19;437507;2021
F;20;447470;2021
F;21;450098;2021
F;22;437906;2021
F;23;435209;2021
F;24;429909;2021
F;25;428987;2021
F;26;442737;2021
F;27;445383;2021
F;28;454807;2021
F;29;452872;2021
F;30;441031;2021
F;31;447163;2021
F;32;445850;2021
F;33;447940;2021
F;34;439563;2021
F;35;442174;2021
F;36;440730;2021
F;37;439644;2021
F;38;440039;2021
F;39;433160;2021
F;40;440365;2021
F;41;432947;2021
F;42;448776;2021
F;43;443692;2021
F;44;441957;2021
F;45;435357;2021
F;46;415336;2021
F;47;317291;2021
F;48;314270;2021
F;49;307153;2021
F;50;286882;2021
F;51;259514;2021
F;52;274421;2021
F;53;294808;2021
F;54;292955;2021
F;55;293862;2021
F;56;299342;2021
F;57;299144;2021
F;58;309721;2021
F;59;305355;2021
F;60;318283;2021
F;61;317563;2021
F;62;322835;2021
F;63;307928;2021
F;64;308522;2021
F;65;302141;2021
F;66;303313;2021
F;67;301864;2021
F;68;294349;2021
F;69;291818;2021
F;70;289889;2021
F;71;295286;2021
F;72;294513;2021
F;73;177101;2021
F;74;152881;2021
F;75;133006;2021
F;76;121989;2021
F;77;147389;2021
F;78;214387;2021
F;79;206418;2021
F;80;199183;2021
F;81;176832;2021
F;82;172976;2021
F;83;158524;2021
F;84;145738;2021
F;85;127466;2021
F;86;114417;2021
F;87;99164;2021
F;88;85307;2021
F;89;71792;2021
F;90;60925;2021
F;91;49222;2021
F;92;36428;2021
F;93;27021;2021
F;94;19637;2021
F;95;14320;2021
F;96;10471;2021
F;97;6963;2021
F;98;4699;2021
F;99;3132;2021
F;100 ou +;3874;2021
M;0;371874;2022
M;1;385468;2022
M;2;394884;2022
M;3;397523;2022
M;4;399205;2022
M;5;403529;2022
M;6;403505;2022
M;7;409362;2022
M;8;404652;2022
M;9;400742;2022
M;10;394057;2022
M;11;419663;2022
M;12;425335;2022
M;13;426515;2022
M;14;405478;2022
M;15;395421;2022
M;16;400657;2022
M;17;390006;2022
M;18;399463;2022
M;19;423645;2022
M;20;446721;2022
M;21;454471;2022
M;22;452410;2022
M;23;439663;2022
M;24;434010;2022
M;25;427752;2022
M;26;429814;2022
M;27;443012;2022
M;28;446670;2022
M;29;454954;2022
M;30;451809;2022
M;31;440074;2022
M;32;444247;2022
M;33;444028;2022
M;34;445033;2022
M;35;434920;2022
M;36;437428;2022
M;37;435027;2022
M;38;433501;2022
M;39;436103;2022
M;40;430388;2022
M;41;439371;2022
M;42;432748;2022
M;43;452466;2022
M;44;448224;2022
M;45;449970;2022
M;46;443080;2022
M;47;421746;2022
M;48;321969;2022
M;49;317470;2022
M;50;310806;2022
M;51;291004;2022
M;52;261882;2022
M;53;274629;2022
M;54;288687;2022
M;55;285463;2022
M;56;283589;2022
M;57;286381;2022
M;58;282031;2022
M;59;288972;2022
M;60;280662;2022
M;61;289234;2022
M;62;283288;2022
M;63;284273;2022
M;64;267309;2022
M;65;262793;2022
M;66;252727;2022
M;67;248006;2022
M;68;240739;2022
M;69;228042;2022
M;70;222596;2022
M;71;216269;2022
M;72;216012;2022
M;73;212511;2022
M;74;124133;2022
M;75;102636;2022
M;76;86098;2022
M;77;76177;2022
M;78;89008;2022
M;79;122079;2022
M;80;114373;2022
M;81;104820;2022
M;82;87843;2022
M;83;81133;2022
M;84;69518;2022
M;85;60093;2022
M;86;48717;2022
M;87;41085;2022
M;88;33453;2022
M;89;26185;2022
M;90;20320;2022
M;91;16028;2022
M;92;11608;2022
M;93;7969;2022
M;94;5084;2022
M;95;3343;2022
M;96;2264;2022
M;97;1467;2022
M;98;718;2022
M;99;509;2022
M;100 ou +;649;2022
F;0;355103;2022
F;1;367874;2022
F;2;376859;2022
F;3;378439;2022
F;4;382642;2022
F;5;385123;2022
F;6;386022;2022
F;7;391067;2022
F;8;386534;2022
F;9;383827;2022
F;10;376607;2022
F;11;399697;2022
F;12;404717;2022
F;13;406990;2022
F;14;386335;2022
F;15;378192;2022
F;16;381604;2022
F;17;372414;2022
F;18;384243;2022
F;19;408538;2022
F;20;435842;2022
F;21;446484;2022
F;22;448065;2022
F;23;436379;2022
F;24;434057;2022
F;25;429646;2022
F;26;429835;2022
F;27;443880;2022
F;28;446307;2022
F;29;457077;2022
F;30;454442;2022
F;31;442543;2022
F;32;448259;2022
F;33;446673;2022
F;34;448829;2022
F;35;440144;2022
F;36;443111;2022
F;37;440673;2022
F;38;439739;2022
F;39;440748;2022
F;40;432989;2022
F;41;439984;2022
F;42;432653;2022
F;43;447910;2022
F;44;443297;2022
F;45;440898;2022
F;46;434509;2022
F;47;414817;2022
F;48;316393;2022
F;49;314239;2022
F;50;306429;2022
F;51;286052;2022
F;52;259182;2022
F;53;273762;2022
F;54;293858;2022
F;55;291771;2022
F;56;292994;2022
F;57;298062;2022
F;58;297826;2022
F;59;308828;2022
F;60;303520;2022
F;61;316911;2022
F;62;315701;2022
F;63;320550;2022
F;64;305945;2022
F;65;306050;2022
F;66;299545;2022
F;67;300481;2022
F;68;298704;2022
F;69;291142;2022
F;70;288068;2022
F;71;286020;2022
F;72;291060;2022
F;73;289269;2022
F;74;174256;2022
F;75;149276;2022
F;76;129594;2022
F;77;118458;2022
F;78;142688;2022
F;79;206718;2022
F;80;197712;2022
F;81;189786;2022
F;82;167447;2022
F;83;162356;2022
F;84;147354;2022
F;85;134018;2022
F;86;115677;2022
F;87;102557;2022
F;88;87690;2022
F;89;74149;2022
F;90;61670;2022
F;91;51118;2022
F;92;40603;2022
F;93;29363;2022
F;94;21242;2022
F;95;15102;2022
F;96;10649;2022
F;97;7665;2022
F;98;5007;2022
F;99;3300;2022
F;100 ou +;4365;2022
M;0;371989;2023
M;1;367965;2023
M;2;387109;2023
M;3;394636;2023
M;4;398918;2023
M;5;400254;2023
M;6;404326;2023
M;7;403860;2023
M;8;409986;2023
M;9;405424;2023
M;10;400752;2023
M;11;394374;2023
M;12;420326;2023
M;13;426105;2023
M;14;427384;2023
M;15;406360;2023
M;16;396313;2023
M;17;401100;2023
M;18;388877;2023
M;19;395537;2023
M;20;419337;2023
M;21;442108;2023
M;22;449829;2023
M;23;448672;2023
M;24;436025;2023
M;25;431117;2023
M;26;426777;2023
M;27;429231;2023
M;28;442445;2023
M;29;446920;2023
M;30;455300;2023
M;31;452064;2023
M;32;439324;2023
M;33;443890;2023
M;34;443124;2023
M;35;444466;2023
M;36;434111;2023
M;37;436414;2023
M;38;434016;2023
M;39;432809;2023
M;40;434958;2023
M;41;429027;2023
M;42;437620;2023
M;43;431206;2023
M;44;450602;2023
M;45;445890;2023
M;46;447496;2023
M;47;441083;2023
M;48;419442;2023
M;49;320287;2023
M;50;315710;2023
M;51;308932;2023
M;52;289218;2023
M;53;260526;2023
M;54;272346;2023
M;55;286040;2023
M;56;282856;2023
M;57;280543;2023
M;58;283432;2023
M;59;278561;2023
M;60;285213;2023
M;61;276765;2023
M;62;284696;2023
M;63;278354;2023
M;64;278917;2023
M;65;261811;2023
M;66;257042;2023
M;67;247023;2023
M;68;241980;2023
M;69;234250;2023
M;70;221576;2023
M;71;216042;2023
M;72;209159;2023
M;73;208595;2023
M;74;204150;2023
M;75;118998;2023
M;76;97629;2023
M;77;81574;2023
M;78;71941;2023
M;79;83267;2023
M;80;113673;2023
M;81;105583;2023
M;82;95765;2023
M;83;79511;2023
M;84;72624;2023
M;85;61366;2023
M;86;52228;2023
M;87;41945;2023
M;88;34636;2023
M;89;27708;2023
M;90;21425;2023
M;91;16281;2023
M;92;12604;2023
M;93;8903;2023
M;94;5992;2023
M;95;3597;2023
M;96;2376;2023
M;97;1549;2023
M;98;1007;2023
M;99;476;2023
M;100 ou +;743;2023
F;0;355311;2023
F;1;352368;2023
F;2;369253;2023
F;3;376842;2023
F;4;379575;2023
F;5;383659;2023
F;6;385796;2023
F;7;386406;2023
F;8;391973;2023
F;9;387353;2023
F;10;383798;2023
F;11;376773;2023
F;12;400278;2023
F;13;405376;2023
F;14;407862;2023
F;15;387703;2023
F;16;379912;2023
F;17;382591;2023
F;18;372642;2023
F;19;383329;2023
F;20;407191;2023
F;21;434338;2023
F;22;444207;2023
F;23;446181;2023
F;24;434478;2023
F;25;432920;2023
F;26;429670;2023
F;27;430371;2023
F;28;444592;2023
F;29;447692;2023
F;30;458642;2023
F;31;455762;2023
F;32;443468;2023
F;33;448860;2023
F;34;447042;2023
F;35;449329;2023
F;36;440780;2023
F;37;442995;2023
F;38;440635;2023
F;39;439904;2023
F;40;440628;2023
F;41;432784;2023
F;42;439451;2023
F;43;432059;2023
F;44;447240;2023
F;45;442326;2023
F;46;439900;2023
F;47;433840;2023
F;48;413723;2023
F;49;315981;2023
F;50;313530;2023
F;51;305589;2023
F;52;285322;2023
F;53;258780;2023
F;54;272819;2023
F;55;292593;2023
F;56;290973;2023
F;57;291903;2023
F;58;296816;2023
F;59;296752;2023
F;60;307177;2023
F;61;302209;2023
F;62;315038;2023
F;63;313793;2023
F;64;318305;2023
F;65;303612;2023
F;66;303295;2023
F;67;296739;2023
F;68;297621;2023
F;69;295146;2023
F;70;287582;2023
F;71;284402;2023
F;72;281726;2023
F;73;286265;2023
F;74;283954;2023
F;75;170632;2023
F;76;145527;2023
F;77;125979;2023
F;78;114972;2023
F;79;137446;2023
F;80;198612;2023
F;81;188653;2023
F;82;180059;2023
F;83;157964;2023
F;84;151664;2023
F;85;136166;2023
F;86;122345;2023
F;87;104598;2023
F;88;91462;2023
F;89;76960;2023
F;90;64088;2023
F;91;52392;2023
F;92;42606;2023
F;93;33144;2023
F;94;23394;2023
F;95;16546;2023
F;96;11373;2023
F;97;7791;2023
F;98;5606;2023
F;99;3640;2023
F;100 ou +;4905;2023
